Student Name,Roll No,ID,Mobile Number,College Name,Address,Email ID,Passing Year,Branch,Trade,Total Marks,CGPA,Grade
Purab Barman,R0149,ID00149,9365353884,De PLC College,"H.No. 48, Chanda Nagar, Bhind-961542",ltandon@gmail.com,2023,Computer Science,Networking,538,7.72,B
Dhanush Reddy,R0150,ID00150,9747484351,"Doctor, Goda and Kurian College","487, Sama Circle, Madanapalle 474830",saksham24@hotmail.com,2023,Electrical,Thermodynamics,512,7.83,B
Kiara Kapoor,R0151,ID00151,9633393526,"Ganesh, Devi and Sagar College","693, Suri Circle, Gwalior 629236",ravelchirag@yahoo.com,2020,Civil,Thermodynamics,572,9.46,A+
Advika Arora,R0152,ID00152,9582972799,Balakrishnan-Dugar College,"14/432, Kanda Marg, Jalgaon 478098",bedichirag@contractor.com,2025,Mechanical,Software Engineering,536,7.76,B
Heer Dayal,R0153,ID00153,9198573348,Tiwari-Hayer College,"692, Bhatia Street, Mahbubnagar 128542",fatehchoudhry@yahoo.com,2020,Computer Science,Power Systems,417,9.76,A+
Stuvan Srinivasan,R0154,ID00154,9708135436,"Bal, Ratta and Bose College","H.No. 28, Mani Street, Motihari-203841",sheremanikya@wali.com,2024,Information Technology,Networking,416,6.18,C
Purab Ramaswamy,R0155,ID00155,9219975181,Goda Group College,"008, Kurian Marg, Phagwara 719966",umander@kannan-loyal.com,2023,Electronics,Networking,449,8.42,A
Emir Srinivas,R0156,ID00156,9195028531,Mann-Mahal College,"H.No. 11, Sandal Circle, Thoothukudi 314414",mohanlal44@gmail.com,2025,Computer Science,VLSI,417,8.98,A
Bhamini Krishna,R0157,ID00157,9971762615,Sant-Chad College,"H.No. 335, Chaudhuri Circle, Nagaon 161154",hsankaran@srinivasan-baral.info,2024,Information Technology,Software Engineering,472,7.45,B
Vidur Agate,R0158,ID00158,9504862398,"Chaudry, Yogi and Brahmbhatt College","90/048, Madan Street, Pudukkottai-222376",majumdarumang@gara.org,2023,Civil,Thermodynamics,581,6.77,C
Manjari Thaman,R0159,ID00159,9149701922,Andra Group College,"H.No. 35, Kata Zila, Bilaspur 428736",ela06@bala-keer.com,2024,Mechanical,Structural Design,449,8.51,A
Dishani Chatterjee,R0160,ID00160,9115378002,Sandhu-Kata College,"39/906, Kapur Road, Machilipatnam-862855",mehulrandhawa@hotmail.com,2025,Electronics,Networking,541,6.11,C
Yuvraj  Zachariah,R0161,ID00161,9193918373,Sampath and Sons College,"560, Vora Ganj, Nagaon 585185",sshanker@lal.org,2020,Electrical,VLSI,593,9.19,A+
Jivin Chander,R0162,ID00162,9474496376,Bali Inc College,"91/02, Dyal Circle, Surendranagar Dudhrej 966915",prerak68@hotmail.com,2025,Electronics,Networking,482,8.62,A
Sana Seth,R0163,ID00163,9789666508,Ravi PLC College,"63/74, Das Circle, Chandigarh-063756",hsarraf@mane-rau.info,2023,Information Technology,Power Systems,550,7.51,B
Dhanush Goyal,R0164,ID00164,9628871660,"Sant, Toor and Dyal College","H.No. 45, Yohannan Marg, Varanasi-950710",bdugal@gmail.com,2023,Electronics,Structural Design,426,8.07,A
Rhea Gaba,R0165,ID00165,9139716543,Kar and Sons College,"H.No. 013, Wagle Path, Erode 520315",kadakiatarini@gmail.com,2020,Information Technology,Software Engineering,407,8.03,A
Yashvi Shukla,R0166,ID00166,9504422817,Rajan-Khosla College,"H.No. 49, Soman Marg, Mumbai-207177",bakshimadhup@yahoo.com,2023,Electronics,Software Engineering,574,8.37,A
Aaryahi Kant,R0167,ID00167,9243927422,"Mann, Gara and Dada College","16/149, Kapur Ganj, Morbi 090146",froy@gmail.com,2024,Mechanical,Power Systems,582,8.5,A
Indranil Aggarwal,R0168,ID00168,9567170226,Chaudhuri-Vohra College,"62/49, Khurana, Tezpur-844455",sairasaini@hotmail.com,2025,Mechanical,Software Engineering,500,7.1,B
Hridaan Sibal,R0169,ID00169,9727944620,"Tata, Sane and Gaba College","47, Biswas Marg, Begusarai-787393",pari20@hotmail.com,2020,Civil,Software Engineering,478,9.16,A+
Raghav Wali,R0170,ID00170,9964374206,Saxena-Taneja College,"H.No. 495, Varma Ganj, Alwar 248948",tsaran@barman-mammen.com,2020,Information Technology,Structural Design,420,9.05,A+
Sana Raman,R0171,ID00171,9102224081,Iyengar-Khatri College,"989, Bhargava Nagar, Thrissur 271326",ugarg@yahoo.com,2022,Electronics,Thermodynamics,580,9.39,A+
Sana Barman,R0172,ID00172,9383408240,Khosla Group College,"55/66, Sane Nagar, Pali 655144",dhanushkorpal@yahoo.com,2021,Electronics,Software Engineering,555,9.01,A+
Mohanlal Wable,R0173,ID00173,9919068739,Lal Ltd College,"54/864, Bala Ganj, Chittoor-353705",nsharma@yahoo.com,2021,Electrical,Structural Design,468,7.18,B
Shaan Trivedi,R0174,ID00174,9792342530,Hegde-Wali College,"H.No. 839, Bala Road, Dehradun-682335",ebath@bumb.net,2024,Information Technology,Structural Design,518,7.6,B
Shamik Taneja,R0175,ID00175,9889438596,Hayre Ltd College,"01/33, Kala Ganj, Farrukhabad 086593",alad@gmail.com,2024,Information Technology,Structural Design,575,8.61,A
Advik Roy,R0176,ID00176,9971268698,Manne-Badal College,"04, Bajwa Street, Kadapa-659052",biju96@hotmail.com,2022,Electronics,VLSI,483,9.29,A+
Vaibhav Rajagopalan,R0177,ID00177,9815654183,"Kapoor, Baral and Warrior College","H.No. 09, Bora, Tenali-549198",tyogi@sodhi.biz,2020,Computer Science,Power Systems,468,7.74,B
Fateh Babu,R0178,ID00178,9758917761,Gour Group College,"02/366, Mall Nagar, Rajkot 132449",butalahunar@hotmail.com,2025,Electronics,Power Systems,435,8.92,A
Purab Joshi,R0179,ID00179,9620874413,"Hayre, Ramachandran and Rattan College","H.No. 89, Deep Zila, Bathinda-301115",tandonayesha@subramaniam.net,2025,Mechanical,Thermodynamics,433,8.9,A
Lakshit Jha,R0180,ID00180,9983387440,Anand LLC College,"93/47, Kakar Nagar, Dewas 317203",shamik02@yahoo.com,2025,Computer Science,Structural Design,468,7.09,B
Indrans Gill,R0181,ID00181,9943331130,Sur-Dubey College,"639, Sarraf Chowk, Singrauli-872023",tkapur@hotmail.com,2021,Mechanical,Power Systems,513,7.45,B
Biju Divan,R0182,ID00182,9243175459,Chokshi-Bhagat College,"346, Saraf, Kurnool-997600",gollanitya@hotmail.com,2020,Information Technology,Networking,531,9.75,A+
Arhaan Das,R0183,ID00183,9671532006,Sur-Trivedi College,"41/76, Yohannan Ganj, Dibrugarh 101407",oorjahayre@yahoo.com,2020,Information Technology,Networking,600,8.91,A
Siya Ahuja,R0184,ID00184,9212045728,Deep-Tripathi College,"H.No. 104, Setty Circle, Jabalpur-305309",faiyazzacharia@khanna.net,2025,Electronics,VLSI,558,9.96,A+
Shray Venkataraman,R0185,ID00185,9105460509,"Dalal, Apte and Bath College","79, Dayal Circle, Tadipatri-951291",denirvaan@gmail.com,2020,Mechanical,Structural Design,567,6.03,C
Umang Sandal,R0186,ID00186,9518651078,Bava-Dyal College,"34/59, Loyal Circle, Gandhinagar 700878",fuppal@yahoo.com,2022,Electrical,Networking,466,6.14,C
Vanya Gill,R0187,ID00187,9975372800,Bali and Sons College,"43, Sur Zila, Bidhannagar 609912",bahljhanvi@vora-karan.com,2021,Civil,VLSI,591,9.5,A+
Yuvraj  Edwin,R0188,ID00188,9307402980,"Chowdhury, Loke and Krishnan College","22/377, Mangal, Aurangabad-605150",hhayre@keer-dugal.com,2023,Electronics,Power Systems,535,7.8,B
Yasmin Sibal,R0189,ID00189,9762851896,Kalita-Balasubramanian College,"55/10, Sahni Chowk, Jamshedpur 149243",gargivana@gmail.com,2023,Computer Science,Thermodynamics,573,7.9,B
Tara Kothari,R0190,ID00190,9269341644,"Sekhon, Bedi and Singh College","79/664, Jayaraman Marg, Sonipat-416536",hridaanchaudhari@gmail.com,2025,Electrical,Structural Design,552,7.48,B
Dishani Dara,R0191,ID00191,9571964044,Gala Ltd College,"55/754, Kurian Nagar, Bhavnagar 458486",tkhatri@gmail.com,2021,Mechanical,Software Engineering,443,9.39,A+
Nirvaan Sharma,R0192,ID00192,9996268215,Sankaran-Ranganathan College,"H.No. 56, Bali Nagar, Jamshedpur 834270",gangulyhimmat@chand-baral.com,2021,Electronics,Networking,460,6.51,C
Dhanush Goswami,R0193,ID00193,9956570968,"Chadha, Singhal and Bhatti College","04/20, Mammen Chowk, Panchkula-342133",karkaira@chauhan.org,2022,Electronics,Networking,499,7.34,B
Madhav Walla,R0194,ID00194,9756471219,Gour Inc College,"H.No. 195, Suri Path, Bhilwara-067209",arhaansinha@hotmail.com,2025,Electronics,Power Systems,441,7.4,B
Reyansh Dube,R0195,ID00195,9978890547,Barman Ltd College,"H.No. 65, Batra Zila, Durg 116645",dharmajanbutala@gmail.com,2020,Information Technology,Software Engineering,553,7.52,B
Emir Karpe,R0196,ID00196,9774642973,"Raval, Ramesh and Sen College","27/042, Dutta Path, Motihari 658167",khushi60@boase.com,2022,Civil,Thermodynamics,449,6.83,C
Vihaan Warrior,R0197,ID00197,9580241070,Randhawa Inc College,"87/64, Barad Path, Pimpri-Chinchwad 407359",csankar@gmail.com,2025,Information Technology,Structural Design,597,6.63,C
Purab Sidhu,R0198,ID00198,9308535677,Mannan Group College,"093, Ray Circle, Anantapuram-670992",hsule@contractor.com,2025,Mechanical,Software Engineering,423,6.89,C
Samaira Shroff,R0199,ID00199,9734320547,Sodhi Inc College,"H.No. 39, Cheema Ganj, Gopalpur-761960",fhayre@yahoo.com,2025,Electrical,Structural Design,522,6.18,C
Rasha Agrawal,R0200,ID00200,9930981919,"Lad, Bhardwaj and Iyer College","68, Kulkarni, Ozhukarai-037778",advik90@yahoo.com,2023,Computer Science,Structural Design,598,6.91,C
Armaan Dasgupta,R0201,ID00201,9534079435,Sem-Lata College,"00/652, Sama Road, Hindupur 124236",fkalita@srinivasan-singhal.biz,2025,Electrical,Networking,516,8.58,A
Advik Hegde,R0202,ID00202,9221359029,Mahal-Singh College,"047, Master Circle, Guntakal 536637",hridaanacharya@yahoo.com,2023,Civil,Software Engineering,559,9.23,A+
Vanya Tripathi,R0203,ID00203,9520546778,Baria Group College,"280, Agrawal Street, Nadiad 339195",nitya17@balay-golla.info,2024,Information Technology,Structural Design,531,9.28,A+
Shanaya Hayre,R0204,ID00204,9712034667,Chhabra LLC College,"832, Dube Street, Indore 500368",xborra@yahoo.com,2024,Civil,Thermodynamics,481,6.98,C
Elakshi Bath,R0205,ID00205,9231666724,"Anand, Cheema and Char College","H.No. 307, Devi Path, Khandwa 611225",rohanagrawal@yahoo.com,2024,Electrical,Networking,535,7.13,B
Umang Mani,R0206,ID00206,9917783313,"Solanki, Rege and Bhat College","H.No. 77, Dutt Marg, Nizamabad 939509",lakshitdevi@yahoo.com,2022,Computer Science,Networking,577,6.21,C
Zara Vaidya,R0207,ID00207,9554460490,Karpe LLC College,"81/37, Buch Nagar, South Dumdum-188379",diyaiyer@gmail.com,2020,Electrical,Software Engineering,502,8.66,A
Aarna Wali,R0208,ID00208,9373962004,Karan LLC College,"85/968, Kumar Ganj, Tirupati-215066",jchowdhury@bose.com,2021,Computer Science,VLSI,530,8.88,A
Tushar Sathe,R0209,ID00209,9985136578,Kulkarni-Dutta College,"83/08, Rattan Nagar, Barasat 688473",irasrivastava@gmail.com,2020,Mechanical,Thermodynamics,439,8.29,A
Miraya Sengupta,R0210,ID00210,9165140895,Sunder-Balan College,"21/86, Bhargava Ganj, Patiala-112098",inaaya-ahuja@gmail.com,2022,Mechanical,Thermodynamics,571,6.09,C
Lakshay Devi,R0211,ID00211,9268541565,"Bhattacharyya, Chowdhury and Garde College","40/857, Jayaraman Chowk, Kota-899152",mishtikoshy@hotmail.com,2023,Mechanical,Networking,481,9.46,A+
Farhan Khatri,R0212,ID00212,9325985547,"Jain, Kapoor and Lall College","566, Arora Chowk, Ichalkaranji-330462",wtoor@hotmail.com,2022,Information Technology,Software Engineering,443,9.7,A+
Jayan Gaba,R0213,ID00213,9751232465,"Grewal, Bhalla and Rout College","H.No. 65, Deol Street, Bongaigaon 949148",ntank@dutt.com,2020,Computer Science,Software Engineering,405,9.66,A+
Yashvi Bhakta,R0214,ID00214,9174041472,"Dave, Sanghvi and Bajwa College","24/993, Hans Ganj, Kharagpur 363666",ladrasha@gmail.com,2020,Computer Science,Thermodynamics,498,7.25,B
Tarini Sawhney,R0215,ID00215,9403545680,"Agate, Deep and Anne College","26/15, Keer Circle, Sri Ganganagar-142692",ubora@kuruvilla.com,2022,Computer Science,Thermodynamics,468,6.51,C
Purab Hari,R0216,ID00216,9616449636,Agate-Tak College,"56, Rout Street, Sambhal 910682",eshani14@dara.com,2022,Electronics,Networking,454,9.1,A+
Stuvan D’Alia,R0217,ID00217,9305251237,Ravel-Keer College,"90/35, Deo Marg, Ozhukarai-527038",siyashah@wadhwa.com,2022,Mechanical,Networking,513,7.29,B
Nitya Sankar,R0218,ID00218,9523467487,"Kashyap, Babu and Krish College","24/165, Salvi Circle, Baranagar 356188",wableivana@yahoo.com,2020,Mechanical,Structural Design,476,8.24,A
Nayantara Bala,R0219,ID00219,9386074401,Hari PLC College,"02/29, Kohli Marg, Nagercoil 623901",chiragsachdev@baria-bedi.org,2023,Civil,Thermodynamics,595,6.13,C
Jivika Khanna,R0220,ID00220,9110170010,"Ahluwalia, Salvi and Dalal College","H.No. 785, Chada Zila, Mathura 183958",taimur84@kashyap.com,2023,Electronics,Networking,503,8.27,A
Aaina Bawa,R0221,ID00221,9744030501,"Balan, Keer and Yogi College","H.No. 09, Koshy Chowk, Aurangabad 570123",anaygarde@gmail.com,2022,Civil,Thermodynamics,434,6.87,C
Aarush Sandal,R0222,ID00222,9886993681,Sengupta-Deep College,"H.No. 26, Bhakta, Sasaram 414826",hatwal@hotmail.com,2025,Mechanical,Structural Design,521,6.41,C
Kashvi Bhasin,R0223,ID00223,9522859850,"Bir, Tank and Chahal College","396, Goswami Zila, Warangal-601449",xchatterjee@yahoo.com,2022,Civil,Thermodynamics,438,7.64,B
Sahil Swamy,R0224,ID00224,9148078779,Kalla and Sons College,"29, Kaur Ganj, Morbi 685361",hridaan48@yadav.com,2023,Information Technology,Software Engineering,534,9.24,A+
Nehmat Arora,R0225,ID00225,9847891149,"Kumar, Thaman and Dora College","H.No. 97, Chada Marg, Bhopal-276629",mannatdube@yahoo.com,2021,Computer Science,Power Systems,483,9.3,A+
Nirvi Dhillon,R0226,ID00226,9334219234,Salvi-Varghese College,"H.No. 148, Barman Marg, Gangtok-831296",parikonda@hotmail.com,2025,Computer Science,Power Systems,522,9.01,A+
Tushar Goyal,R0227,ID00227,9500769464,Balasubramanian LLC College,"H.No. 244, Das Street, Berhampore-405776",taraaniruddh@gala-hora.com,2023,Information Technology,Networking,428,9.39,A+
Jayant Sankar,R0228,ID00228,9390996539,Devan LLC College,"94/925, Samra Road, Kochi 738801",tellachirag@dhingra.com,2025,Mechanical,Thermodynamics,530,6.66,C
Zara Saraf,R0229,ID00229,9217895749,"Mall, Korpal and Rajagopalan College","H.No. 45, Dhar Road, Pune 268568",rhea25@raval.org,2023,Information Technology,Power Systems,466,7.85,B
Hiran Banik,R0230,ID00230,9972341871,Desai LLC College,"28/015, Tata Zila, Kumbakonam 737081",vihaanvig@shanker.com,2023,Civil,Thermodynamics,408,9.17,A+
Tiya Sahni,R0231,ID00231,9949042563,Jain Ltd College,"H.No. 462, Wable Circle, Loni 314468",himmat06@yahoo.com,2022,Information Technology,Thermodynamics,419,7.62,B
Bhamini Ram,R0232,ID00232,9655309106,Mand-Ravi College,"521, Savant Ganj, Ichalkaranji 566807",qaurora@yahoo.com,2022,Civil,VLSI,557,9.65,A+
Kismat Wadhwa,R0233,ID00233,9720907512,Kamdar and Sons College,"99/55, Lad Road, Mira-Bhayandar 368384",shray98@gmail.com,2021,Civil,Networking,572,9.95,A+
Riaan Devi,R0234,ID00234,9901538124,Barman-Warrior College,"14, Dhar Path, Jammu 363635",bijuhans@sarin.com,2023,Electronics,Thermodynamics,527,6.7,C
Jhanvi Bawa,R0235,ID00235,9200386001,"Issac, Reddy and Gandhi College","H.No. 313, Kuruvilla Ganj, Srikakulam 213632",dbanik@gmail.com,2024,Mechanical,Power Systems,593,9.58,A+
Nishith Kata,R0236,ID00236,9576273280,Varghese LLC College,"89/25, Grover Zila, Kharagpur 124739",gadepurab@sani.com,2025,Mechanical,Software Engineering,449,9.03,A+
Jivin Barad,R0237,ID00237,9419493572,"Varty, Dash and Borra College","370, Warrior, Parbhani 310515",arnavgandhi@gmail.com,2022,Civil,Thermodynamics,491,8.77,A
Pari Balan,R0238,ID00238,9723623087,Lanka Group College,"099, Jaggi, Jammu-506275",hiranmajumdar@lall.com,2020,Information Technology,Networking,558,7.11,B
Amira Gopal,R0239,ID00239,9668940590,Bhavsar-D’Alia College,"H.No. 881, Bora Zila, Akola-140221",vtrivedi@chakraborty.com,2024,Mechanical,Networking,478,7.49,B
Indrans Sura,R0240,ID00240,9735789792,Malhotra-Lanka College,"18/02, Bandi Marg, Korba 704576",dhanuksolanki@gmail.com,2021,Information Technology,Software Engineering,539,6.68,C
Jayesh Sahni,R0241,ID00241,9761987279,Kuruvilla-Anne College,"55/20, Chand, Ambattur 947713",mandelakshi@saha.com,2023,Computer Science,Power Systems,592,8.55,A
Hrishita Sidhu,R0242,ID00242,9354681811,Dave LLC College,"H.No. 804, Kothari Road, Morbi-362413",yashvithakkar@vig-chand.info,2023,Computer Science,Structural Design,496,6.51,C
Amani Wagle,R0243,ID00243,9339518700,"Som, Brahmbhatt and Kurian College","60/262, Sodhi Zila, Mango 641340",qde@khare-ramesh.org,2022,Mechanical,VLSI,578,6.23,C
Trisha Bahl,R0244,ID00244,9735101028,"Sandhu, Ratta and Sankaran College","H.No. 264, Date Nagar, Belgaum 843116",shankarivan@hotmail.com,2024,Information Technology,Structural Design,588,6.89,C
Neelofar Dayal,R0245,ID00245,9705915595,"Bobal, Grewal and Kala College","65/08, Aurora Circle, Salem-588307",shamik45@babu-grover.com,2021,Civil,Software Engineering,565,6.71,C
Vivaan Bawa,R0246,ID00246,9170017681,Gara and Sons College,"60, Kaul Marg, Vadodara-151372",aliagarg@kaur-bhatti.info,2025,Information Technology,Thermodynamics,548,7.84,B
Reyansh Gill,R0247,ID00247,9185759697,Kumer Ltd College,"97, Rattan Path, Tirupati 107675",romilchada@sheth-karpe.com,2024,Electronics,Networking,454,8.84,A
Anvi Rattan,R0248,ID00248,9116347141,Dass Ltd College,"16/156, Dalal Chowk, Aurangabad-471649",kavya08@hotmail.com,2024,Civil,VLSI,534,7.23,B
Rati Bajaj,R0249,ID00249,9951632357,"Tara, Gaba and Basak College","H.No. 247, Lalla Road, Katni-515837",varughesepriyansh@gmail.com,2020,Civil,Thermodynamics,428,7.3,B
Dhruv Mand,R0250,ID00250,9659144757,Sanghvi-Thaman College,"36/506, Sodhi Street, Panchkula 634108",chandadivit@gmail.com,2020,Electrical,Networking,476,6.31,C
Navya Korpal,R0251,ID00251,9212312793,"Ram, Deshpande and Chopra College","54/64, Zacharia Chowk, New Delhi 467016",aarav27@dugar.org,2022,Civil,Software Engineering,582,9.52,A+
Kartik Ramaswamy,R0252,ID00252,9308211879,Rajagopalan Ltd College,"802, Badami Path, Varanasi-865880",ftandon@tailor.org,2020,Civil,Power Systems,540,7.91,B
Armaan Dewan,R0253,ID00253,9892179600,"Mannan, Bhatti and Kale College","27, Hora Chowk, Chennai-794609",samaira96@bala-kothari.com,2020,Information Technology,Power Systems,417,7.36,B
Shalv Chhabra,R0254,ID00254,9415178607,Bhasin PLC College,"H.No. 480, Banerjee Street, Ratlam 978721",iissac@ramanathan.com,2024,Electronics,Structural Design,433,9.35,A+
Tanya Dara,R0255,ID00255,9246677195,"Ahluwalia, Srivastava and Dugar College","92, Khurana Path, Sultan Pur Majra 610397",deepparinaaz@garg.com,2025,Mechanical,Thermodynamics,484,8.61,A
Manjari Thakur,R0256,ID00256,9952903418,Dey-Samra College,"H.No. 91, Ganguly Road, Raiganj-359289",bassibiju@yahoo.com,2023,Civil,Thermodynamics,414,9.88,A+
Manikya Sura,R0257,ID00257,9611655091,Dhawan-Choudhury College,"20/925, Bose Zila, Belgaum 515278",shayak47@sharma.org,2024,Mechanical,Software Engineering,471,7.56,B
Hunar Banerjee,R0258,ID00258,9536385289,Madan-Bhagat College,"78, Vala Zila, Nashik 173039",deshmukhjivika@hotmail.com,2024,Electrical,Thermodynamics,531,8.8,A
Hunar Mani,R0259,ID00259,9833234603,Comar Inc College,"H.No. 985, Dewan Path, Ongole-329402",kapurindranil@gmail.com,2023,Electronics,Software Engineering,533,8.71,A
Taimur Chhabra,R0260,ID00260,9967140053,"Wadhwa, Wadhwa and Ahluwalia College","91, Gulati Marg, Shahjahanpur-034018",hridaandasgupta@gmail.com,2025,Electrical,Networking,456,8.64,A
Madhup Gade,R0261,ID00261,9604398154,"Barad, Kumer and Som College","46/71, Mannan Nagar, Aligarh-302179",shamik16@thaman.org,2020,Mechanical,Power Systems,448,7.92,B
Eshani Sankar,R0262,ID00262,9251211618,Varma Group College,"98/295, Kalita Marg, Madurai 372266",ybobal@gmail.com,2023,Civil,Thermodynamics,578,8.98,A
Zain Mander,R0263,ID00263,9486139304,Raja LLC College,"91/47, Balasubramanian Path, Ujjain-661469",mrajagopal@yahoo.com,2020,Electronics,Structural Design,488,6.61,C
Ira Krish,R0264,ID00264,9417298977,Sarkar LLC College,"352, Mani Ganj, Kirari Suleman Nagar-361115",behlinaaya@sangha.com,2022,Electrical,Structural Design,564,9.02,A+
Arhaan Kant,R0265,ID00265,9907559574,"Bobal, Issac and Ramesh College","H.No. 00, Kumer Nagar, Lucknow 665182",csubramaniam@dhar.biz,2022,Electrical,Software Engineering,486,9.98,A+
Gatik Sandhu,R0266,ID00266,9157739647,"Bail, Balan and Khosla College","41/02, Sood Chowk, Kadapa 709122",amira26@hotmail.com,2020,Electronics,Networking,598,9.82,A+
Tiya Tella,R0267,ID00267,9813988338,Ahluwalia-Chanda College,"76/621, Acharya Zila, Coimbatore 447232",chandhazel@yahoo.com,2022,Mechanical,Power Systems,510,9.34,A+
Manjari Kala,R0268,ID00268,9797598705,Bhagat-Chopra College,"46, Krishna Street, Yamunanagar-017727",ttaneja@cherian.org,2023,Electrical,VLSI,595,7.2,B
Saira Gola,R0269,ID00269,9906180275,Ganesan-Bhavsar College,"97/78, Kota Nagar, Amaravati 845883",dgala@saran.com,2020,Computer Science,Networking,420,6.65,C
Kaira Kannan,R0270,ID00270,9346727239,"Gokhale, Gill and Chaudhry College","36, Tank Road, Guntur-424943",faiyazdevan@hotmail.com,2025,Electronics,Software Engineering,447,7.92,B
Nehmat Sani,R0271,ID00271,9336491528,Kara-Das College,"972, Luthra Circle, Hosur-499967",gagrawal@kata.com,2025,Electrical,Thermodynamics,415,9.5,A+
Madhup Choudhry,R0272,ID00272,9164318806,"Luthra, Chander and Roy College","084, Baria Road, Adoni 978511",advikasundaram@gmail.com,2025,Civil,Software Engineering,593,8.91,A
Aayush Biswas,R0273,ID00273,9916123426,Chandra-Khurana College,"H.No. 967, Contractor Road, Kota-065670",saraganguly@srivastava.com,2022,Civil,Power Systems,482,8.73,A
Prerak Yadav,R0274,ID00274,9711695634,"Sankaran, Jhaveri and Kashyap College","905, Aurora Marg, Nandyal 580029",advika11@bava-krishnamurthy.biz,2023,Electronics,Networking,492,9.06,A+
Tiya Rana,R0275,ID00275,9761041794,Chopra Ltd College,"32/059, Krishnan Nagar, Miryalaguda 691856",daminiseshadri@gmail.com,2020,Electronics,Software Engineering,596,7.16,B
Sumer Mane,R0276,ID00276,9570440996,"Babu, Char and Manne College","H.No. 140, Joshi Path, Sikar 559305",neelofar19@barad.com,2024,Electronics,Structural Design,407,6.05,C
Lagan Dara,R0277,ID00277,9508764929,Vyas-Ganesh College,"H.No. 140, Buch Zila, Ramgarh-078744",sanghaahana@gmail.com,2021,Information Technology,Power Systems,428,6.67,C
Tanya Uppal,R0278,ID00278,9750770539,Bhat and Sons College,"H.No. 402, Dasgupta Street, Guntur-038056",pihusem@bora-bahri.com,2024,Information Technology,Software Engineering,424,6.73,C
Hrishita Ramaswamy,R0279,ID00279,9897866429,Talwar LLC College,"89/33, Mann Ganj, Bhusawal 642351",piyamangat@yahoo.com,2025,Civil,Power Systems,455,7.65,B
Biju Vyas,R0280,ID00280,9318199122,"Sehgal, Dayal and Tara College","01, Varghese Zila, Durg-465405",lkohli@hotmail.com,2022,Information Technology,VLSI,421,8.88,A
Ranbir Chawla,R0281,ID00281,9170314493,Thaker PLC College,"40/60, Uppal Street, Warangal 502814",jayaramanjhanvi@hotmail.com,2022,Mechanical,Power Systems,414,8.72,A
Yakshit Gera,R0282,ID00282,9636116693,Bumb-Sachdev College,"12/277, Bera Path, Ulhasnagar 344480",asehgal@dyal.info,2020,Information Technology,Structural Design,458,7.12,B
Keya Apte,R0283,ID00283,9704037277,"Sachdev, Balakrishnan and Sharaf College","H.No. 321, Bajaj Ganj, South Dumdum 810968",indrajit19@loyal.com,2023,Electrical,Networking,472,8.53,A
Ahana  Dasgupta,R0284,ID00284,9357995477,"Desai, Kurian and Datta College","36/85, Yadav Path, Kolhapur-488482",cshetty@gmail.com,2025,Information Technology,Power Systems,566,7.02,B
Suhana Lad,R0285,ID00285,9481495178,"Shroff, Khare and Guha College","422, Din Marg, Aurangabad-414786",eanne@gmail.com,2022,Computer Science,Software Engineering,522,8.72,A
Neysa Shah,R0286,ID00286,9950152059,Dayal-Sama College,"57/536, Handa, Bhilai-101735",nitaraghose@hotmail.com,2021,Computer Science,Software Engineering,400,6.97,C
Mahika Kurian,R0287,ID00287,9103811950,Wali-Sarma College,"22/52, Dugal Path, Burhanpur-918841",divyansh51@gara.com,2025,Electronics,Structural Design,481,8.25,A
Tiya Tara,R0288,ID00288,9285155155,Lata Group College,"860, Desai Zila, Akola-978225",suraabram@yahoo.com,2020,Information Technology,Power Systems,437,9.31,A+
Tanya Sur,R0289,ID00289,9779433240,Sur and Sons College,"68/960, Sarna Marg, Kamarhati 899217",wdatta@hotmail.com,2020,Electrical,Structural Design,517,8.66,A
Neelofar Iyer,R0290,ID00290,9481654087,"Issac, Uppal and Choudhury College","85/06, Chandra Street, Chandigarh-234697",igoswami@gmail.com,2023,Electronics,Power Systems,538,9.15,A+
Divit Gala,R0291,ID00291,9963188055,"Ganesan, Dixit and Chandran College","H.No. 649, Varghese Circle, Chittoor 065415",jhanviwagle@gmail.com,2023,Civil,VLSI,505,7.75,B
Indrans Jhaveri,R0292,ID00292,9367702119,Divan-Sodhi College,"083, Sahni Road, Kanpur 508809",aarav92@chhabra.com,2022,Electrical,VLSI,576,8.07,A
Khushi Randhawa,R0293,ID00293,9985696326,Char-Ganesh College,"16, Karnik Circle, Pudukkottai-743021",nvarty@lall.org,2020,Mechanical,Structural Design,527,9.91,A+
Hansh Kothari,R0294,ID00294,9736170999,Khanna LLC College,"10, Rajagopal Ganj, Mysore 050908",ishita79@mandal.com,2023,Computer Science,Networking,517,7.18,B
Khushi Das,R0295,ID00295,9350248654,"Bhalla, Raj and Taneja College","897, Vasa Road, Gwalior 356904",msani@hotmail.com,2022,Electrical,VLSI,588,8.49,A
Raunak Shukla,R0296,ID00296,9123163402,Sanghvi and Sons College,"H.No. 53, Ahluwalia Nagar, Gudivada 406407",kantraghav@gmail.com,2023,Computer Science,Thermodynamics,461,9.88,A+
Gatik Dua,R0297,ID00297,9412187928,Bali-Dixit College,"601, Barman Zila, Tinsukia-447243",veer98@dash.info,2020,Civil,Structural Design,425,7.82,B
Madhup Goyal,R0298,ID00298,9849387556,Chandra and Sons College,"48, Mahal Zila, Rajahmundry-510469",zoya84@hotmail.com,2024,Mechanical,Structural Design,581,7.64,B
